urls,ingredients,amounts,unit
recipe 125,frisk timian,0.5,stk
recipe 125,grøntsagsbouillon,197.5,
recipe 125,hvedemel,1937.5,g
recipe 125,hvidløg,10.0,fed
recipe 125,koncentreret tomatpuré,197.5,g
recipe 125,løg,4.0,stk
recipe 125,parmesan,112.5,g
recipe 125,persille,179.5,g
recipe 125,rødløg,6.5,stk
recipe 125,smør,4.5,g
recipe 125,soltørrede tomater i olie,119.0,g
recipe 125,spaghetti,325.0,g
recipe 125,spinat,50.0,g
recipe 125,squash,0.5,stk
recipe 125,æblecidereddike,748.0,ml
recipe 125,æg,8.0,stk
recipe 126,aubergine,0.5,stk
recipe 126,champignon,75.0,g
recipe 126,frisk basilikum,0.25,stk
recipe 126,grøntsagsbouillon,199.0,
recipe 126,gulerod,6.0,stk
recipe 126,hakkede tomater,0.5,stk
recipe 126,hvedemel,1936.5,g
recipe 126,hvidløg,9.5,fed
recipe 126,koncentreret tomatpuré,199.5,g
recipe 126,løg,4.0,stk
recipe 126,mælk,998.5,ml
recipe 126,olivenolie,999.0,ml
recipe 126,parmesan,150.0,g
recipe 126,piskefløde,26.25,ml
recipe 126,smør,4.0,g
recipe 126,soltørrede tomater i olie,119.5,g
recipe 126,spinat,50.0,g
recipe 126,stængler bladselleri,0.5,stk
recipe 126,timian,0.5,stk
recipe 126,æg,9.0,stk
recipe 127,bredbladet persille,179.0,g
recipe 127,feta,100.0,g
recipe 127,frisk basilikum,0.5,stk
recipe 127,fuldkornshvedemel,937.5,g
recipe 127,gær,32.5,g
recipe 127,hvedemel,1587.5,g
recipe 127,hvidløg,10.5,fed
recipe 127,kartoffel,899.0,g
recipe 127,olivenolie,997.0,ml
recipe 127,rødløg,6.5,stk
recipe 127,soltørrede tomater i olie,95.0,g
recipe 128,broccoli,399.5,g
recipe 128,græskarkerner,249.0,g
recipe 128,grønkål,175.0,g
recipe 128,grøntsagsbouillon,198.9,
recipe 128,honning,399.5,g
recipe 128,hvidløg,9.5,fed
recipe 128,kartoffel,598.0,g
recipe 128,løg,4.0,stk
recipe 128,olivenolie,999.0,ml
recipe 128,piskefløde,26.0,ml
recipe 128,timian,0.5,stk
recipe 128,æble,8.0,stk
recipe 128,æblecidereddike,749.5,ml
recipe 129,avocado,34.0,stk
recipe 129,bredbladet persille,179.5,g
recipe 129,cheddar ost,75.0,g
recipe 129,cherrytomater,245.0,g
recipe 129,frisk koriander,0.5,stk
recipe 129,grøntsagsbouillon,194.5,
recipe 129,hakkede tomater,0.5,stk
recipe 129,hvidløg,8.0,fed
recipe 129,kikærter,399.0,g
recipe 129,kyllingebryst,125.0,g
recipe 129,løg,4.0,stk
recipe 129,olivenolie,998.5,ml
recipe 129,piskefløde,26.5,ml
recipe 129,rød chili,0.5,stk
recipe 129,rød peberfrugt,1.0,stk
recipe 129,røget paprika,0.25,stk
recipe 129,squash,0.5,stk
recipe 129,stødt koriander,0.5,stk
recipe 130,baby spinat,50.0,g
recipe 130,broccoli,324.5,g
recipe 130,forårsløg,2.0,stk
recipe 130,hvidløg,9.5,fed
recipe 130,ingefær,199.0,g
recipe 130,lime,3.5,stk
recipe 130,løg,5.5,stk
recipe 130,olivenolie,998.5,ml
recipe 130,rød chili,0.5,stk
recipe 130,sesamfrø,248.5,g
recipe 130,sesamolie,499.75,ml
recipe 130,soja,248.5,ml
recipe 130,spidskål,0.5,stk
recipe 130,squash,0.5,stk
recipe 130,sukker,999.0,g
recipe 130,æblecidereddike,749.0,ml
recipe 130,æg,8.0,stk
recipe 131,bredbladet persille,179.0,g
recipe 131,feta,100.0,g
recipe 131,frisk basilikum,0.5,stk
recipe 131,fuldkornshvedemel,937.5,g
recipe 131,gær,32.5,g
recipe 131,hvedemel,1587.5,g
recipe 131,hvidløg,10.5,fed
recipe 131,kartoffel,899.0,g
recipe 131,olivenolie,997.0,ml
recipe 131,rødløg,6.5,stk
recipe 131,soltørrede tomater i olie,95.0,g
recipe 132,broccoli,399.5,g
recipe 132,frisk timian,0.5,stk
recipe 132,græskarkerner,249.5,g
recipe 132,grøntsagsbouillon,199.0,
recipe 132,gulerod,6.5,stk
recipe 132,honning,399.5,g
recipe 132,hvidløg,10.0,fed
recipe 132,kartoffel,996.5,g
recipe 132,koncentreret tomatpuré,150.0,g
recipe 132,løg,4.0,stk
recipe 132,olivenolie,998.5,ml
recipe 132,piskefløde,26.25,ml
recipe 132,porre,0.5,stk
recipe 132,stødt spidskommen,0.5,stk
recipe 132,æble,8.5,stk
recipe 132,æblecidereddike,749.5,ml
recipe 133,feta,100.0,g
recipe 133,gær,40.0,g
recipe 133,hakkede tomater,0.75,stk
recipe 133,hvedemel,1525.0,g
recipe 133,hvidløg,9.5,fed
recipe 133,kartoffel,999.0,g
recipe 133,koncentreret tomatpuré,185.0,g
recipe 133,olivenolie,997.0,ml
recipe 133,rødløg,6.5,stk
recipe 133,soltørrede tomater i olie,95.0,g
recipe 134,frisk basilikum,0.25,stk
recipe 134,grøntsagsbouillon,195.5,
recipe 134,hakkede tomater,0.5,stk
recipe 134,hvedemel,1937.5,g
recipe 134,hvidløg,9.5,fed
recipe 134,løg,4.5,stk
recipe 134,olivenolie,999.5,ml
recipe 134,parmesan,112.5,g
recipe 134,piskefløde,26.5,ml
recipe 134,soltørrede tomater i olie,94.5,g
recipe 134,timian,0.5,stk
recipe 134,æg,9.0,stk
recipe 135,grøntsagsbouillon,197.5,
recipe 135,hakkede tomater,0.5,stk
recipe 135,hvidløg,9.5,fed
recipe 135,løg,5.0,stk
recipe 135,olivenolie,999.0,ml
recipe 135,parmesan,147.5,g
recipe 135,piskefløde,26.0,ml
recipe 135,rasp,485.0,g
recipe 135,soltørrede tomater i olie,95.0,g
recipe 135,spaghetti,300.0,g
recipe 135,spinat,187.5,g
recipe 136,aubergine,0.5,stk
recipe 136,champignon,75.0,g
recipe 136,grøntsagsbouillon,199.0,
recipe 136,gulerod,6.0,stk
recipe 136,hakkede tomater,0.5,stk
recipe 136,hvedemel,1999.0,g
recipe 136,hvidløg,9.5,fed
recipe 136,koncentreret tomatpuré,199.5,g
recipe 136,løg,4.5,stk
recipe 136,mælk,998.5,ml
recipe 136,olivenolie,998.5,ml
recipe 136,parmesan,185.0,g
recipe 136,piskefløde,25.75,ml
recipe 136,smør,4.0,g
recipe 136,spaghetti,300.0,g
recipe 136,spinat,187.5,g
recipe 136,squash,0.5,stk
recipe 136,stængler bladselleri,0.5,stk
recipe 137,basmati ris,498.5,g
recipe 137,broccoli,299.5,g
recipe 137,brun farin,499.5,g
recipe 137,fishsauce,199.0,ml
recipe 137,gulerod,5.5,stk
recipe 137,hvidløg,9.0,fed
recipe 137,ingefær,189.5,g
recipe 137,kartoffel,999.0,g
recipe 137,kikærter,399.5,g
recipe 137,kokosmælk,200.0,ml
recipe 137,løg,4.0,stk
recipe 137,olivenolie,998.5,ml
recipe 137,peanutbutter,349.0,g
recipe 137,rød peberfrugt,2.0,stk
recipe 137,saltede peanuts,199.0,g
recipe 137,soja,249.5,ml
recipe 137,squash,0.5,stk
recipe 137,sukker,999.5,g
recipe 138,aubergine,0.5,stk
recipe 138,grøntsagsbouillon,199.0,
recipe 138,hvedemel,1999.5,g
recipe 138,hvidløg,10.0,fed
recipe 138,lime,4.5,stk
recipe 138,løg,5.5,stk
recipe 138,majs,250.0,g
recipe 138,mørk chokolade,85.0,g
recipe 138,olivenolie,998.0,ml
recipe 138,rød chili,0.75,stk
recipe 138,rødløg,6.0,stk
recipe 138,smør,4.5,g
recipe 138,soltørrede tomater i olie,118.5,g
recipe 138,stødt koriander,0.75,stk
recipe 138,stødt spidskommen,0.75,stk
recipe 138,tortillas pandekager,2.0,stk
recipe 139,basmati ris,498.5,g
recipe 139,broccoli,299.5,g
recipe 139,brun farin,499.5,g
recipe 139,fishsauce,199.0,ml
recipe 139,gulerod,5.5,stk
recipe 139,hvidløg,9.0,fed
recipe 139,ingefær,189.5,g
recipe 139,kartoffel,999.0,g
recipe 139,kikærter,399.5,g
recipe 139,kokosmælk,200.0,ml
recipe 139,løg,4.0,stk
recipe 139,olivenolie,998.5,ml
recipe 139,peanutbutter,349.0,g
recipe 139,rød peberfrugt,2.0,stk
recipe 139,saltede peanuts,199.0,g
recipe 139,soja,249.5,ml
recipe 139,squash,0.5,stk
recipe 139,sukker,999.5,g
recipe 140,broccoli,399.0,g
recipe 140,forårsløg,2.0,stk
recipe 140,gulerod,6.5,stk
recipe 140,hvidløg,9.0,fed
recipe 140,ingefær,189.5,g
recipe 140,kokosmælk,200.0,ml
recipe 140,lime,3.5,stk
recipe 140,løg,5.5,stk
recipe 140,nudler,150.0,g
recipe 140,olivenolie,998.0,ml
recipe 140,peanutbutter,349.0,g
recipe 140,pillede edamamebønner,150.0,g
recipe 140,rød chili,0.5,stk
recipe 140,sesamfrø,240.0,g
recipe 140,soja,248.5,ml
recipe 140,spidskål,0.5,stk
recipe 140,spinat,150.0,g
recipe 140,squash,0.5,stk
recipe 140,sukker,999.0,g
recipe 140,æblecidereddike,749.0,ml
recipe 140,æg,6.0,stk
recipe 141,broccoli,399.0,g
recipe 141,gulerod,5.5,stk
recipe 141,hvidløg,9.5,fed
recipe 141,ingefær,190.0,g
recipe 141,kokosmælk,200.0,ml
recipe 141,lime,4.0,stk
recipe 141,nudler,175.0,g
recipe 141,olivenolie,997.5,ml
recipe 141,peanutbutter,349.0,g
recipe 141,pillede edamamebønner,150.0,g
recipe 141,sesamfrø,230.0,g
recipe 141,sesamolie,499.0,ml
recipe 141,soja,249.0,ml
recipe 141,spinat,150.0,g
recipe 141,sriracha chilisauce,449.5,ml
recipe 141,æg,6.0,stk
recipe 142,champignon,150.0,g
recipe 142,frisk basilikum,0.5,stk
recipe 142,grøntsagsbouillon,199.5,
recipe 142,gulerod,6.0,stk
recipe 142,hakkede tomater,0.5,stk
recipe 142,hvedemel,1998.5,g
recipe 142,hvidløg,9.5,fed
recipe 142,kanel,0.5,stk
recipe 142,kartoffel,998.0,g
recipe 142,koncentreret tomatpuré,199.5,g
recipe 142,løg,4.0,stk
recipe 142,mælk,997.0,ml
recipe 142,olivenolie,998.0,ml
recipe 142,piskefløde,26.25,ml
recipe 142,smør,3.5,g
recipe 142,soltørrede tomater i olie,118.5,g
recipe 142,stængler bladselleri,0.5,stk
recipe 142,stødt spidskommen,0.5,stk
recipe 143,avocado,34.0,stk
recipe 143,grøntsagsbouillon,199.5,
recipe 143,hakkede tomater,0.5,stk
recipe 143,hvedemel,1999.5,g
recipe 143,hvidløg,10.0,fed
recipe 143,kanel,0.5,stk
recipe 143,lime,4.0,stk
recipe 143,løg,4.5,stk
recipe 143,majs,250.0,g
recipe 143,olivenolie,998.5,ml
recipe 143,rød chili,0.5,stk
recipe 143,rød peberfrugt,2.5,stk
recipe 143,smør,4.5,g
recipe 143,squash,0.25,stk
recipe 143,stødt spidskommen,0.5,stk
recipe 143,tortillas pandekager,4.0,stk
recipe 143,æg,8.0,stk
recipe 144,avocado,34.0,stk
recipe 144,grøntsagsbouillon,199.5,
recipe 144,hakkede tomater,0.5,stk
recipe 144,hvedemel,1999.5,g
recipe 144,hvidløg,10.0,fed
recipe 144,kanel,0.5,stk
recipe 144,lime,4.0,stk
recipe 144,løg,4.5,stk
recipe 144,majs,250.0,g
recipe 144,olivenolie,998.5,ml
recipe 144,rød chili,0.5,stk
recipe 144,rød peberfrugt,2.5,stk
recipe 144,smør,4.5,g
recipe 144,squash,0.25,stk
recipe 144,stødt spidskommen,0.5,stk
recipe 144,tortillas pandekager,4.0,stk
recipe 144,æg,8.0,stk
recipe 145,avocado,33.5,stk
recipe 145,cheddar ost,75.0,g
recipe 145,grøntsagsbouillon,198.5,
recipe 145,hakkede tomater,0.5,stk
recipe 145,hvidløg,9.0,fed
recipe 145,ingefær,199.5,g
recipe 145,kanel,0.75,stk
recipe 145,lime,4.0,stk
recipe 145,løg,3.5,stk
recipe 145,majs,275.0,g
recipe 145,mørk chokolade,87.5,g
recipe 145,olivenolie,998.5,ml
recipe 145,rød chili,0.5,stk
recipe 145,rød peberfrugt,2.0,stk
recipe 145,røget paprika,0.25,stk
recipe 145,squash,0.25,stk
recipe 145,stængler bladselleri,0.5,stk
recipe 145,stødt koriander,0.5,stk
recipe 145,tortillas pandekager,2.0,stk
recipe 145,æg,8.0,stk
recipe 146,agurk,0.75,stk
recipe 146,avocado,33.0,stk
recipe 146,cheddar ost,37.5,g
recipe 146,cherrytomater,237.5,g
recipe 146,grøntsagsbouillon,197.0,
recipe 146,hakkede tomater,0.5,stk
recipe 146,hvidløg,9.5,fed
recipe 146,kikærter,399.5,g
recipe 146,kyllingebryst,125.0,g
recipe 146,lime,4.5,stk
recipe 146,løg,4.5,stk
recipe 146,majs,325.0,g
recipe 146,olivenolie,999.0,ml
recipe 146,rød chili,0.5,stk
recipe 146,rød peberfrugt,2.5,stk
recipe 146,rødløg,6.5,stk
recipe 146,røget paprika,0.5,stk
recipe 146,squash,0.5,stk
recipe 146,stødt spidskommen,0.5,stk
recipe 147,broccoli,399.25,g
recipe 147,cashewnødder,80.0,g
recipe 147,fishsauce,199.5,ml
recipe 147,gulerod,5.0,stk
recipe 147,hvidløg,9.0,fed
recipe 147,ingefær,180.0,g
recipe 147,lime,4.0,stk
recipe 147,nudler,100.0,g
recipe 147,olivenolie,999.0,ml
recipe 147,peanutbutter,349.0,g
recipe 147,sesamfrø,240.0,g
recipe 147,soja,249.5,ml
recipe 147,spinat,50.0,g
recipe 147,æg,8.0,stk
recipe 148,agurk,0.75,stk
recipe 148,avocado,33.5,stk
recipe 148,basmati ris,350.0,g
recipe 148,cheddar ost,25.0,g
recipe 148,cherrytomater,180.0,g
recipe 148,grøntsagsbouillon,196.5,
recipe 148,gulerod,7.0,stk
recipe 148,hakkede tomater,0.5,stk
recipe 148,hvidløg,9.0,fed
recipe 148,kanel,0.75,stk
recipe 148,lime,4.0,stk
recipe 148,løg,4.5,stk
recipe 148,majs,325.0,g
recipe 148,olivenolie,998.0,ml
recipe 148,rød chili,0.75,stk
recipe 148,rød peberfrugt,2.0,stk
recipe 148,rødløg,6.5,stk
recipe 148,squash,0.5,stk
recipe 148,sriracha chilisauce,449.5,ml
recipe 148,stødt koriander,0.5,stk
recipe 148,stødt spidskommen,0.5,stk
recipe 149,aubergine,0.5,stk
recipe 149,avocado,34.5,stk
recipe 149,cheddar ost,75.0,g
recipe 149,grøntsagsbouillon,198.0,
recipe 149,hvidløg,9.0,fed
recipe 149,ingefær,199.5,g
recipe 149,kanel,0.25,stk
recipe 149,lime,4.5,stk
recipe 149,løg,4.5,stk
recipe 149,majs,275.0,g
recipe 149,mørk chokolade,72.5,g
recipe 149,olivenolie,998.0,ml
recipe 149,rød chili,0.75,stk
recipe 149,rød peberfrugt,2.5,stk
recipe 149,rødløg,6.0,stk
recipe 149,røget paprika,0.25,stk
recipe 149,soltørrede tomater i olie,118.5,g
recipe 149,stængler bladselleri,0.5,stk
recipe 149,stødt koriander,0.25,stk
recipe 149,stødt spidskommen,0.25,stk
recipe 150,agurk,0.75,stk
recipe 150,avocado,34.5,stk
recipe 150,baby spinat,50.0,g
recipe 150,basmati ris,497.0,g
recipe 150,bredbladet persille,179.5,g
recipe 150,fishsauce,199.5,ml
recipe 150,frisk koriander,0.5,stk
recipe 150,gulerod,4.5,stk
recipe 150,hvidløg,10.0,fed
recipe 150,ingefær,194.5,g
recipe 150,løg,5.5,stk
recipe 150,mayonnaise,297.5,g
recipe 150,olivenolie,999.0,ml
recipe 150,sesamfrø,230.0,g
recipe 150,soja,249.5,ml
recipe 150,spinat,50.0,g
recipe 150,sriracha chilisauce,449.5,ml
recipe 150,sukker,970.0,g
recipe 150,æblecidereddike,749.0,ml
recipe 150,æg,8.0,stk
recipe 151,avocado,33.0,stk
recipe 151,cheddar ost,25.0,g
recipe 151,cherrytomater,245.0,g
recipe 151,grøntsagsbouillon,197.5,
recipe 151,hakkede tomater,0.5,stk
recipe 151,hvidløg,9.5,fed
recipe 151,kikærter,399.5,g
recipe 151,kyllingebryst,125.0,g
recipe 151,lime,4.0,stk
recipe 151,løg,4.0,stk
recipe 151,olivenolie,998.5,ml
recipe 151,rød peberfrugt,2.0,stk
recipe 151,squash,0.25,stk
recipe 151,tortillas pandekager,2.0,stk
recipe 151,æg,8.0,stk
recipe 152,agurk,0.75,stk
recipe 152,cayenne peber,0.5,stk
recipe 152,hvidløg,10.5,fed
recipe 152,ingefær,199.5,g
recipe 152,kartoffel,850.0,g
recipe 152,lime,4.0,stk
recipe 152,løg,5.5,stk
recipe 152,olivenolie,998.5,ml
recipe 152,stødt koriander,0.5,stk
recipe 152,stødt spidskommen,0.75,stk
recipe 153,babykartofler,825.0,g
recipe 153,blåbær,124.5,g
recipe 153,dijon sennep,378.5,g
recipe 153,grønne asparges,150.0,g
recipe 153,honning,398.5,g
recipe 153,mayonnaise,349.0,g
recipe 153,olivenolie,998.0,ml
recipe 153,purløg,179.5,g
recipe 153,rødløg,6.5,stk
recipe 153,smør,4.0,g
recipe 153,valnødder,115.0,g
recipe 153,æblecidereddike,748.5,ml
recipe 153,æg,8.0,stk
recipe 154,basmati ris,498.5,g
recipe 154,blomkål,0.25,stk
recipe 154,frisk koriander,0.5,stk
recipe 154,grøntsagsbouillon,199.0,
recipe 154,hvidløg,8.0,fed
recipe 154,ingefær,199.0,g
recipe 154,kartoffel,748.5,g
recipe 154,kikærter,399.5,g
recipe 154,kokosmælk,200.0,ml
recipe 154,løg,4.5,stk
recipe 154,olivenolie,998.5,ml
recipe 154,squash,0.5,stk
recipe 155,bredbladet persille,179.75,g
recipe 155,hvidløg,9.0,fed
recipe 155,mælk,999.0,ml
recipe 155,olivenolie,999.0,ml
recipe 155,parmesan,125.0,g
recipe 155,spaghetti,300.0,g
recipe 155,tomat,5.0,stk
recipe 156,frisk basilikum,0.5,stk
recipe 156,hvidløg,9.5,fed
recipe 156,olivenolie,998.5,ml
recipe 156,parmesan,125.0,g
recipe 156,pasta,50.0,g
recipe 156,rød chili,0.75,stk
recipe 156,spaghetti,300.0,g
recipe 156,sukker,999.5,g
recipe 157,agurk,0.5,stk
recipe 157,chili,0.75,stk
recipe 157,citron,5.75,stk
recipe 157,frisk mynte,0.5,stk
recipe 157,hvidløg,10.0,fed
recipe 157,kartoffel,999.0,g
recipe 157,løg,5.0,stk
recipe 157,rasp,498.0,g
recipe 157,stødt spidskommen,0.75,stk
recipe 157,tomat,9.0,stk
recipe 157,æg,8.5,stk
recipe 158,aubergine,0.5,stk
recipe 158,champignon,75.0,g
recipe 158,frisk basilikum,0.5,stk
recipe 158,grøntsagsbouillon,199.0,
recipe 158,gulerod,6.0,stk
recipe 158,hakkede tomater,0.5,stk
recipe 158,hvedemel,1999.0,g
recipe 158,hvidløg,7.5,fed
recipe 158,koncentreret tomatpuré,199.5,g
recipe 158,løg,3.0,stk
recipe 158,mælk,998.5,ml
recipe 158,olivenolie,998.5,ml
recipe 158,piskefløde,26.25,ml
recipe 158,rød chili,0.5,stk
recipe 158,smør,4.0,g
recipe 158,squash,0.5,stk
recipe 158,stængler bladselleri,0.5,stk
recipe 158,sukker,999.5,g
recipe 159,basmati ris,498.5,g
recipe 159,broccoli,399.25,g
recipe 159,brun farin,499.5,g
recipe 159,cashewnødder,80.0,g
recipe 159,fishsauce,198.5,ml
recipe 159,gulerod,5.5,stk
recipe 159,hvidløg,9.5,fed
recipe 159,ingefær,189.5,g
recipe 159,kartoffel,999.0,g
recipe 159,kokosmælk,200.0,ml
recipe 159,lime,4.5,stk
recipe 159,løg,5.0,stk
recipe 159,nudler,50.0,g
recipe 159,olivenolie,998.5,ml
recipe 159,pillede edamamebønner,150.0,g
recipe 159,saltede peanuts,199.5,g
recipe 159,spinat,150.0,g
recipe 159,squash,0.5,stk
recipe 160,agurk,0.75,stk
recipe 160,basmati ris,498.5,g
recipe 160,frisk mynte,0.5,stk
recipe 160,grøntsagsbouillon,196.5,
recipe 160,hvidløg,7.5,fed
recipe 160,ingefær,198.5,g
recipe 160,løg,5.0,stk
recipe 160,olivenolie,997.5,ml
recipe 160,rød chili,0.75,stk
recipe 160,stødt koriander,0.75,stk
recipe 160,stødt spidskommen,0.5,stk
recipe 160,sukker,999.0,g
recipe 161,frisk basilikum,0.5,stk
recipe 161,grøntsagsbouillon,195.5,
recipe 161,hakkede tomater,0.5,stk
recipe 161,hvidløg,7.5,fed
recipe 161,løg,3.5,stk
recipe 161,olivenolie,999.0,ml
recipe 161,parmesan,162.5,g
recipe 161,piskefløde,26.5,ml
recipe 161,rød chili,0.5,stk
recipe 161,soltørrede tomater i olie,95.0,g
recipe 161,spinat,200.0,g
recipe 161,squash,0.5,stk
recipe 161,sukker,999.5,g
recipe 162,avocado,34.5,stk
recipe 162,blomkål,0.75,stk
recipe 162,frisk koriander,0.5,stk
recipe 162,grøntsagsbouillon,198.5,
recipe 162,hvidløg,8.0,fed
recipe 162,ingefær,199.0,g
recipe 162,kartoffel,998.5,g
recipe 162,kikærter,399.5,g
recipe 162,kokosmælk,200.0,ml
recipe 162,løg,5.0,stk
recipe 162,olivenolie,998.0,ml
recipe 162,squash,0.5,stk
recipe 162,stødt koriander,0.25,stk
recipe 162,stødt spidskommen,0.5,stk
recipe 163,avocado,34.0,stk
recipe 163,cherrytomater,100.0,g
recipe 163,frisk basilikum,0.5,stk
recipe 163,hvidløg,11.5,fed
recipe 163,kikærter,399.5,g
recipe 163,olivenolie,999.0,ml
recipe 163,pinjekerner,25.0,g
recipe 163,rucola,50.0,g
recipe 164,agurk,0.5,stk
recipe 164,avocado,33.0,stk
recipe 164,cayenne peber,0.75,stk
recipe 164,cheddar ost,37.5,g
recipe 164,cherrytomater,237.5,g
recipe 164,frisk koriander,0.5,stk
recipe 164,grøntsagsbouillon,199.5,
recipe 164,hakkede tomater,0.5,stk
recipe 164,hvidløg,10.5,fed
recipe 164,lime,4.0,stk
recipe 164,løg,5.0,stk
recipe 164,majs,325.0,g
recipe 164,olivenolie,999.0,ml
recipe 164,rødløg,6.0,stk
recipe 164,røget paprika,0.5,stk
recipe 165,baby spinat,99.5,g
recipe 165,basmati ris,498.5,g
recipe 165,frisk koriander,0.5,stk
recipe 165,frisk mynte,0.5,stk
recipe 165,grøntsagsbouillon,199.0,
recipe 165,hvidløg,8.5,fed
recipe 165,ingefær,198.5,g
recipe 165,kartoffel,750.0,g
recipe 165,kokosmælk,200.0,ml
recipe 165,løg,5.5,stk
recipe 165,olivenolie,999.0,ml
recipe 165,rødløg,6.5,stk
recipe 165,stødt spidskommen,0.5,stk
recipe 166,agurk,0.75,stk
recipe 166,avocado,34.5,stk
recipe 166,cherrytomater,242.5,g
recipe 166,citron,5.75,stk
recipe 166,hvidløg,11.5,fed
recipe 166,kikærter,399.5,g
recipe 166,olivenolie,998.5,ml
recipe 166,pillede edamamebønner,275.0,g
recipe 166,rucola,37.5,g
recipe 166,rødløg,6.5,stk
recipe 166,røget paprika,0.75,stk
recipe 166,sesamfrø,249.0,g
recipe 166,squash,0.5,stk
recipe 166,stødt spidskommen,0.5,stk
recipe 166,tahin,0.5,stk
recipe 167,basmati ris,498.5,g
recipe 167,frisk koriander,0.5,stk
recipe 167,grøntsagsbouillon,199.0,
recipe 167,hvidløg,6.5,fed
recipe 167,ingefær,199.5,g
recipe 167,løg,3.0,stk
recipe 167,olivenolie,998.0,ml
recipe 167,rød chili,0.25,stk
recipe 167,sukker,998.5,g
recipe 168,aubergine,0.5,stk
recipe 168,champignon,100.0,g
recipe 168,forårsløg,2.0,stk
recipe 168,grøntsagsbouillon,199.25,
recipe 168,hvedemel,1997.5,g
recipe 168,hvidløg,9.5,fed
recipe 168,kanel,0.5,stk
recipe 168,kartoffel,998.0,g
recipe 168,løg,4.0,stk
recipe 168,mælk,998.5,ml
recipe 168,olivenolie,999.0,ml
recipe 168,piskefløde,26.5,ml
recipe 168,smør,4.5,g
recipe 168,soltørrede tomater i olie,118.5,g
recipe 168,squash,0.5,stk
recipe 168,stødt spidskommen,0.5,stk
recipe 169,grøntsagsbouillon,195.5,
recipe 169,hakkede tomater,0.5,stk
recipe 169,hvidløg,9.5,fed
recipe 169,løg,5.0,stk
recipe 169,olivenolie,999.0,ml
recipe 169,parmesan,147.5,g
recipe 169,piskefløde,26.0,ml
recipe 169,soltørrede tomater i olie,95.0,g
recipe 169,spaghetti,300.0,g
recipe 169,spinat,137.5,g
recipe 169,squash,0.5,stk
recipe 170,agurk,0.25,stk
recipe 170,avocado,33.5,stk
recipe 170,baby spinat,50.0,g
recipe 170,basmati ris,498.5,g
recipe 170,fishsauce,199.5,ml
recipe 170,græskarkerner,249.5,g
recipe 170,grøntsagsbouillon,197.0,
recipe 170,gulerod,6.5,stk
recipe 170,hvidløg,11.0,fed
recipe 170,ingefær,195.0,g
recipe 170,kokosmælk,200.0,ml
recipe 170,mayonnaise,312.5,g
recipe 170,olivenolie,999.5,ml
recipe 170,pinjekerner,49.5,g
recipe 170,sesamfrø,242.5,g
recipe 170,solsikkekerner,249.5,g
recipe 170,spinat,200.0,g
recipe 170,sukker,985.0,g
recipe 170,æblecidereddike,749.5,ml
recipe 171,agurk,0.75,stk
recipe 171,avocado,34.5,stk
recipe 171,frisk mynte,0.5,stk
recipe 171,grøntsagsbouillon,195.5,
recipe 171,hakkede tomater,0.5,stk
recipe 171,hvidløg,8.0,fed
recipe 171,ingefær,198.5,g
recipe 171,kanel,0.75,stk
recipe 171,løg,4.5,stk
recipe 171,majs,275.0,g
recipe 171,mørk chokolade,87.5,g
recipe 171,olivenolie,998.5,ml
recipe 171,rød peberfrugt,2.5,stk
recipe 171,røget paprika,0.75,stk
recipe 171,squash,0.5,stk
recipe 171,stængler bladselleri,0.5,stk
recipe 171,stødt koriander,0.75,stk
recipe 171,stødt spidskommen,0.5,stk
recipe 172,frisk basilikum,0.5,stk
recipe 172,frisk mynte,0.5,stk
recipe 172,grøntsagsbouillon,199.5,
recipe 172,hvidløg,11.0,fed
recipe 172,hvidvin,749.5,ml
recipe 172,løg,5.5,stk
recipe 172,olivenolie,999.0,ml
recipe 172,parmesan,175.0,g
recipe 172,smør,4.5,g
recipe 173,champignon,150.0,g
recipe 173,feta,112.5,g
recipe 173,frisk timian,0.5,stk
recipe 173,grøntsagsbouillon,198.0,
recipe 173,hvidløg,9.5,fed
recipe 173,koncentreret tomatpuré,197.5,g
recipe 173,løg,5.0,stk
recipe 173,parmesan,112.5,g
recipe 173,persille,179.5,g
recipe 173,rødløg,6.5,stk
recipe 173,smør,4.5,g
recipe 173,soltørrede tomater i olie,119.5,g
recipe 173,spaghetti,125.0,g
recipe 173,timian,0.5,stk
recipe 173,æblecidereddike,748.0,ml
recipe 173,æg,9.0,stk
recipe 174,agurk,0.75,stk
recipe 174,avocado,33.0,stk
recipe 174,cayenne peber,0.75,stk
recipe 174,cheddar ost,25.0,g
recipe 174,cherrytomater,240.0,g
recipe 174,frisk koriander,0.5,stk
recipe 174,grøntsagsbouillon,197.5,
recipe 174,hvidløg,10.0,fed
recipe 174,kikærter,399.5,g
recipe 174,kyllingebryst,125.0,g
recipe 174,lime,4.5,stk
recipe 174,løg,4.5,stk
recipe 174,olivenolie,999.0,ml
recipe 174,rød chili,0.5,stk
recipe 174,rød peberfrugt,2.5,stk
recipe 174,rødløg,6.5,stk
recipe 174,squash,0.5,stk
recipe 174,stødt spidskommen,0.5,stk
recipe 175,aubergine,0.5,stk
recipe 175,frisk timian,0.75,stk
recipe 175,fuldkornshvedemel,975.0,g
recipe 175,hakkede tomater,0.5,stk
recipe 175,hvedemel,1937.5,g
recipe 175,hvidløg,9.5,fed
recipe 175,koncentreret tomatpuré,150.0,g
recipe 175,løg,5.5,stk
recipe 175,olivenolie,999.5,ml
